year,season,mean_temp
2098,summer,17.5036
2099,summer,17.4699
2100,summer,17.5888
2015,fall,13.9358
2016,fall,13.685
2017,fall,13.8543
2018,fall,13.9122
2019,fall,13.9357
2020,fall,13.9152
2021,fall,14.0285
2022,fall,14.1319
2023,fall,14.0503
2024,fall,14.2438
2025,fall,14.3188
2026,fall,14.2688
2027,fall,14.259
2028,fall,14.2581
2029,fall,14.4406
2030,fall,14.3677
2031,fall,14.3019
2032,fall,14.2304
2033,fall,14.2954
2034,fall,14.4961
2035,fall,14.4534
2036,fall,14.5226
2037,fall,14.5654
2038,fall,14.5708
2039,fall,14.5186
2040,fall,14.7147
2041,fall,14.4535
2042,fall,14.5793
2043,fall,14.5968
2044,fall,14.647
2045,fall,14.8538
2046,fall,14.9071
2047,fall,14.6888
2048,fall,14.9824
2049,fall,14.9692
2050,fall,14.902
2051,fall,15.1186
2052,fall,14.9507
2053,fall,14.9352
2054,fall,14.9902
2055,fall,14.8206
2056,fall,15.0292
2057,fall,15.2637
2058,fall,15.1126
2059,fall,15.059
2060,fall,15.1384
2061,fall,15.3022
2062,fall,15.0541
2063,fall,15.1536
2064,fall,15.265
2065,fall,15.422
2066,fall,15.2335
2067,fall,15.2707
2068,fall,15.1913
2069,fall,15.4865
2070,fall,15.366
2071,fall,15.4616
2072,fall,15.6144
2073,fall,15.5342
2074,fall,15.2109
2075,fall,15.5661
2076,fall,15.428
2077,fall,15.632
2078,fall,15.6721
2079,fall,15.6036
2080,fall,15.4618
2081,fall,15.4006
2082,fall,15.5628
2083,fall,15.5523
2084,fall,15.9082
2085,fall,15.7321
2086,fall,15.4254
2087,fall,16.0546
2088,fall,15.8412
2089,fall,15.7744
2090,fall,15.8593
2091,fall,16.0284
2092,fall,15.7673
2093,fall,15.7381
2094,fall,15.8585
2095,fall,15.9735
2096,fall,16.0602
2097,fall,15.9094
2098,fall,16.0286
2099,fall,15.8912
2100,fall,16.1034
