year,season,country,mean_temp
1893,spring,United States of America,8.5422
1893,summer,United States of America,22.257
1893,winter,United States of America,-1.4602
1894,fall,United States of America,12.8991
1894,spring,United States of America,9.2908
1894,summer,United States of America,22.5253
1894,winter,United States of America,-1.4735
1895,fall,United States of America,12.7353
1895,spring,United States of America,9.891
1895,summer,United States of America,21.9041
1895,winter,United States of America,-1.2444
1896,fall,United States of America,12.1701
1896,spring,United States of America,9.4663
1896,summer,United States of America,22.1535
1896,winter,United States of America,-2.4692
1897,fall,United States of America,13.0778
1897,spring,United States of America,9.1873
1897,summer,United States of America,22.4168
1897,winter,United States of America,-2.7687
1898,fall,United States of America,12.4731
1898,spring,United States of America,10.1104
1898,summer,United States of America,22.1195
1898,winter,United States of America,-2.764
1899,fall,United States of America,11.9825
1899,spring,United States of America,9.9368
1899,summer,United States of America,22.1265
1899,winter,United States of America,-0.6205
1900,fall,United States of America,11.9973
1900,spring,United States of America,9.0002
1900,summer,United States of America,21.8845
1900,winter,United States of America,-1.4578
1901,fall,United States of America,12.8545
1901,spring,United States of America,9.2729
1901,summer,United States of America,22.2677
1901,winter,United States of America,-2.8344
1902,fall,United States of America,12.6101
1902,spring,United States of America,9.5266
1902,summer,United States of America,22.6053
1902,winter,United States of America,-3.101
1903,fall,United States of America,11.2035
1903,spring,United States of America,10.5234
1903,summer,United States of America,21.4005
1903,winter,United States of America,-0.5008
1904,fall,United States of America,13.0301
1904,spring,United States of America,9.0827
1904,summer,United States of America,22.4547
1904,winter,United States of America,-1.1704
1905,fall,United States of America,12.244
1905,spring,United States of America,9.4278
1905,summer,United States of America,22.0361
1905,winter,United States of America,-1.3625
1906,fall,United States of America,11.6181
1906,spring,United States of America,10.8496
1906,summer,United States of America,22.7478
1906,winter,United States of America,-1.1349
1907,fall,United States of America,11.6719
1907,spring,United States of America,9.3748
1907,summer,United States of America,21.7769
1907,winter,United States of America,-1.4257
1908,fall,United States of America,11.6808
1908,spring,United States of America,9.8021
1908,summer,United States of America,21.9567
1908,winter,United States of America,-1.9307
1909,fall,United States of America,11.3454
1909,spring,United States of America,9.3073
1909,summer,United States of America,22.5304
1909,winter,United States of America,-1.1604
1910,fall,United States of America,11.3744
1910,spring,United States of America,9.8444
1910,summer,United States of America,21.6168
1910,winter,United States of America,-0.8393
1911,fall,United States of America,11.7473
1911,spring,United States of America,9.1607
1911,summer,United States of America,21.9488
1911,winter,United States of America,-2.7161
1912,fall,United States of America,10.8187
1912,spring,United States of America,9.0609
1912,summer,United States of America,21.5468
1912,winter,United States of America,-1.6463
1913,fall,United States of America,11.8588
1913,spring,United States of America,9.1766
1913,summer,United States of America,22.3909
1913,winter,United States of America,-0.8124
1914,fall,United States of America,11.5465
1914,spring,United States of America,8.8414
1914,summer,United States of America,21.7277
1914,winter,United States of America,-0.7223
1915,fall,United States of America,11.8996
1915,spring,United States of America,8.1185
1915,summer,United States of America,22.0922
1915,winter,United States of America,-2.9018
1916,fall,United States of America,11.3354
1916,spring,United States of America,9.0824
1916,summer,United States of America,21.8332
1916,winter,United States of America,-1.8892
1917,fall,United States of America,11.7648
1917,spring,United States of America,8.5828
1917,summer,United States of America,22.4908
1917,winter,United States of America,-2.6204
1918,fall,United States of America,12.4792
1918,spring,United States of America,9.1499
1918,summer,United States of America,22.0894
1918,winter,United States of America,-3.1289
1919,fall,United States of America,11.4908
1919,spring,United States of America,10.2395
1919,summer,United States of America,22.0949
1919,winter,United States of America,-1.0504
1920,fall,United States of America,12.0045
1920,spring,United States of America,8.7272
1920,summer,United States of America,22.4541
1920,winter,United States of America,-1.7513
1921,fall,United States of America,12.1948
1921,spring,United States of America,9.272
1921,summer,United States of America,21.9748
1921,winter,United States of America,0.4416
1922,fall,United States of America,12.0226
1922,spring,United States of America,9.3893
1922,summer,United States of America,22.3448
1922,winter,United States of America,-0.5266
1923,fall,United States of America,12.1699
1923,spring,United States of America,8.7315
1923,summer,United States of America,22.9171
1923,winter,United States of America,-1.0311
1924,fall,United States of America,11.9708
1924,spring,United States of America,9.3316
1924,summer,United States of America,21.9493
1924,winter,United States of America,0.2621
1925,fall,United States of America,12.5098
1925,spring,United States of America,10.4655
1925,summer,United States of America,21.7431
1925,winter,United States of America,0.2833
1926,fall,United States of America,11.9668
1926,spring,United States of America,9.7071
1926,summer,United States of America,22.8384
1926,winter,United States of America,-0.2629
1927,fall,United States of America,11.682
1927,spring,United States of America,9.0915
1927,summer,United States of America,22.3171
1927,winter,United States of America,-0.7691
1928,fall,United States of America,12.6385
1928,spring,United States of America,9.7097
1928,summer,United States of America,22.4612
1928,winter,United States of America,-1.3105
1929,fall,United States of America,12.3541
1929,spring,United States of America,10.3958
1929,summer,United States of America,22.4931
1929,winter,United States of America,-1.8482
1930,fall,United States of America,11.9264
1930,spring,United States of America,10.6527
1930,summer,United States of America,22.4936
1930,winter,United States of America,-0.5944
1931,fall,United States of America,12.8053
1931,spring,United States of America,9.7028
1931,summer,United States of America,22.2828
1931,winter,United States of America,-3.0756
1932,fall,United States of America,12.3114
1932,spring,United States of America,8.4396
1932,summer,United States of America,22.1546
1932,winter,United States of America,-0.805
1933,fall,United States of America,12.1987
1933,spring,United States of America,10.7649
1933,summer,United States of America,22.7237
1933,winter,United States of America,-0.4206
1934,fall,United States of America,12.4462
1934,spring,United States of America,9.0379
1934,summer,United States of America,21.6184
1934,winter,United States of America,-1.0266
1935,fall,United States of America,13.1727
1935,spring,United States of America,10.4188
1935,summer,United States of America,22.8168
1935,winter,United States of America,-2.5246
1936,fall,United States of America,11.9647
1936,spring,United States of America,9.3193
1936,summer,United States of America,22.3987
1936,winter,United States of America,-1.6082
1937,fall,United States of America,12.2691
1937,spring,United States of America,8.7533
1937,summer,United States of America,22.1853
1937,winter,United States of America,-0.9054
1938,fall,United States of America,12.5091
1938,spring,United States of America,10.5884
1938,summer,United States of America,22.2136
1938,winter,United States of America,-1.705
1939,fall,United States of America,12.2652
1939,spring,United States of America,10.5955
1939,summer,United States of America,22.4436
1939,winter,United States of America,-1.0964
1940,fall,United States of America,12.1848
1940,spring,United States of America,9.7353
1940,summer,United States of America,22.414
1940,winter,United States of America,-1.9899
1941,fall,United States of America,13.2941
1941,spring,United States of America,8.6261
1941,summer,United States of America,21.7697
1941,winter,United States of America,-2.5774
1942,fall,United States of America,11.5333
1942,spring,United States of America,8.1421
1942,summer,United States of America,22.3258
1942,winter,United States of America,-1.1822
1943,fall,United States of America,12.3467
1943,spring,United States of America,10.0137
1943,summer,United States of America,21.9345
1943,winter,United States of America,-0.4909
1944,fall,United States of America,12.5139
1944,spring,United States of America,9.2026
1944,summer,United States of America,21.9627
1944,winter,United States of America,-1.9155
1945,fall,United States of America,11.1492
1945,spring,United States of America,8.9923
1945,summer,United States of America,22.3833
1945,winter,United States of America,-2.1075
1946,fall,United States of America,12.3906
1946,spring,United States of America,9.6087
1946,summer,United States of America,21.8977
1946,winter,United States of America,-1.0399
1947,fall,United States of America,12.2813
1947,spring,United States of America,9.6045
1947,summer,United States of America,22.4492
1947,winter,United States of America,-1.1009
1948,fall,United States of America,12.0806
1948,spring,United States of America,9.1818
1948,summer,United States of America,22.2736
1948,winter,United States of America,-1.7252
1949,fall,United States of America,11.5957
1949,spring,United States of America,8.1138
1949,summer,United States of America,22.4875
1949,winter,United States of America,-2.3468
1950,fall,United States of America,11.7271
1950,spring,United States of America,9.5051
1950,summer,United States of America,22.3148
1950,winter,United States of America,-2.8092
1951,fall,United States of America,12.4716
1951,spring,United States of America,8.4583
